area,avg_price
"Vile Parle",1500.000000
Someshwarpura,1200.000000
"Pacific Mall Subhash Nagar",1200.000000
"Brigade Road",1100.000000
"Central Market Punjabi Bagh",1050.000000
"Kurla - Mumbai",1000.000000
"Mantri Sqare Mall",900.000000
"Central Markt Punjabi Bagh",875.000000
"Bandra Area",841.935484
Kotturpuram,800.000000
"Near City Centre 1 Petrol Pump",800.000000
"Bentinck St.",800.000000
"Tiruvalleeswarar Nagar",800.000000
"Powai Area",797.727273
Bodakdev,783.333333
Ulsoor,762.500000
Bhadra,750.000000
"Cunningham Road",750.000000
"Armane Nagar",750.000000
Nandanam,733.333333
"Sampangi Rama Nagar",710.000000
"Film Nagar",700.000000
"Near 7 Point Crossing",700.000000
"Sector 10 Rohini",700.000000
"Ea Mall Royapettah",700.000000
"Vardhman Premium Mall",700.000000
"Vasanth Nagar",659.375000
"Punjabi Bagh",632.142857
"Bandra West",620.000000
"Sarat Bose Rd",600.000000
"Express Avenue Mall",600.000000
"Kiran Nagar",600.000000
"Wallace Garden",600.000000
"Marol Maroshi Road",600.000000
"Bandra Kurla Complex",600.000000
"Sion Koliwada",600.000000
"Rajouri Garden Extension",600.000000
"Lal Darwaja",594.444444
"Park Street Area",583.793103
"Vikhroli West",575.000000
"Lake Market",575.000000
"Raja Annamalai Puram",570.833333
"T. Nagar",565.526316
Bkc,560.714286
"Thousand Lights",552.916667
"Ashok Nagar",550.677966
"Kasba Peth",550.000000
"Bn Reddy Nagar",550.000000
Magdalla,550.000000
"Girdhar Nagar",550.000000
"Old Wadaj",550.000000
Tangra,536.111111
Usmanpura,531.428571
"Sector 3 Rohini",530.000000
Mundhwa,525.000000
Sangamvadi,525.000000
Khanpur,516.666667
"Cox Town",512.500000
Teynampet,509.677419
Alwarpet,504.444444
"Koregaon Park",502.536232
"Near Rupbani Cinema",500.000000
"Shyambazar Crossing",500.000000
Selimpur,500.000000
Malleswaram,500.000000
"Karam Pura",500.000000
"Sastri Nager",500.000000
Chanchalguda,500.000000
"Hindustan Park",500.000000
"Drive In Road",500.000000
"Purba Barisha",500.000000
"B.B.D. Bagh",500.000000
"Sarkhej Road",500.000000
"Lower Parel Worli",500.000000
"L.B Nagar",500.000000
"Srinivas Towers",500.000000
"Appa Balwant Chowk Pune",500.000000
"Sector -15",500.000000
"Ultadanga Telenga Bagan",500.000000
"Central Bengalore",500.000000
"Saki Vihar Road",500.000000
"Smarpally Kestopur",500.000000
"Lower Parel Area",500.000000
"Kalina Ck",500.000000
"Cg Road",500.000000
"Raviwar Peth",500.000000
"Balaji Nagar",500.000000
Bapunagar,500.000000
Bhagal,500.000000
"Panjarapole Cross Road",500.000000
Ballygunge,493.750000
"Kalyani Nagar",492.666667
Elgin,490.476190
Santoshpur,487.500000
Pashan,486.363636
"Maharshi Nagar",481.250000
Adugodi,481.250000
"New Magdalla",480.000000
" Begumpet",480.000000
"Agarkar Nagar",475.000000
"Benson Town",475.000000
"Ramdev Nagar",475.000000
"Sivanchetti Gardens",474.900000
Bidhannagar,471.943089
"Saki Naka",469.811321
Beniapukur,468.750000
Bally,466.666667
Kankaria,466.666667
Baner,465.200000
"Adarsh Nagar",462.500000
Aundh,453.469388
Nungambakkam,452.156863
Kalasiguda,450.000000
"Gandhi Nagar",450.000000
Yerawada,450.000000
Ultadanga,450.000000
Asalpha,450.000000
Thaltej,450.000000
