area,total_restaurants
Rohini,257
Chembur,208
Kothrud,149
"Andheri East",135
Navrangpura,132
Indiranagar,130
Kurla,129
Koramangala,124
Bidhannagar,123
"Ashok Nagar",118
"Banjara Hills",113
"Santacruz East",110
Athwa,99
Vastrapur,94
"Himayath Nagar",92
Powai,91
Perambur,89
"Shivaji Nagar",75
"Marol Sakinaka",74
Adajan,74
"Anna Nagar",73
"Salt Lake",73
Shivajinagar,72
"Central Bangalore",71
"Koregaon Park",69
"Lake Town",69
"Kothapet & Dilsukhnagar",65
Ballygunge,64
Kondhwa,64
Piplod,64
Bhowanipore,63
"Central Kolkata",63
"Paschim Vihar",62
Kilpauk,58
Egmore,57
Himayatnagar,54
Basavanagudi,54
"Saki Naka",53
Erandwane,52
"South Kolkata",52
Nungambakkam,51
Ellisbridge,50
Jayanagar,49
Aundh,49
"Scruz Bandra East",49
"Thousand Lights",48
Kalighat,47
Malleshwaram,47
Alwarpet,45
Maninagar,45
"Nallakunta & Vidyanagar",45
"Ghatkopar East",43
Mylapore,42
Taltala,41
Annanagar,40
Purasaiwakkam,39
Rajajinagar,38
"T. Nagar",38
Sion,37
"Pitam Pura",36
Swargate,36
Royapettah,35
Camp,34
Kodambakkam,34
"George Town",34
Ameerpet,33
"Bandra Area",31
Teynampet,31
Uppal,31
Jadavpur,31
Dumdum,31
"Kalyani Nagar",30
Varachha,30
Naranpura,30
"Park Street Area",29
Wanowrie,29
Bibwewadi,28
Vadapalani,27
"T Nagar",27
Alipore,26
Baner,25
Kothapet,25
"Karve Nagar",25
"Kurla West",25
Beleghata,25
"Ghatkopar West",25
"Bandra East",25
Paldi,25
Ambawadi,25
Charminar,25
Burrabazar,25
"Ruby Area",25
Kasba,24
Memnagar,24
Koti,23
Abids,23
Dhankawadi,23
"Powai Area",22
Golpark,22
Khairtabad,22
Kankurgachi,22
"Khar West",22
Mehdipatnam,22
Isanpur,22
Purasawalkam,22
Domlur,21
"Pulikeshi Nagar",21
Elgin,21
"Toli Chowki",21
Vesu,21
"Ghatkopar Vikhroli",21
"Deccan Gymkhana",20
"Matunga Wadala",20
Gariahat,19
Narayanguda,19
"Sector 7 Rohini",19
Kachiguda,19
"Sadashiv Peth",19
"Annanagar East",19
"Old Washermanpet",19
"Dum Dum",18
Choolaimedu,18
Tangra,18
Chennai,18
Arumbakkam,18
"Tagore Garden Extension",18
"University Area",18
Punjagutta,17
Dilsukhnagar,17
Gopalapuram,17
"New Alipore",17
"Sinhgad Road",17
Matunga,17
Triplicane,17
Begampura,17
"Sion Bhakti Park",17
Tolichowki,17
"Rajouri Garden",17
"Vasanth Nagar",16
"Jodhpur Park",16
Topsia,16
"Narayan Peth",16
Behala,16
Nsp,16
