restaurant,food_type
" Conclave At Afraa","Italian,Indian,Continental"
" Kishori Lal Paan","Paan,Beverages,Desserts"
" Momozon","Chinese,Tibetan"
" Sahadeva Reddy'S Biryani Durbar","Biryani,Chinese,Indian"
"'@ Thala-E-Wah","Indian,Chinese"
"'@69 Food Zone","Fast Food,Indian,Chinese"
"10 Downing Street","Indian,Continental,Tandoor"
"10 Downing Street","North Indian,Chinese,Continental"
"1441 Pizzeria","Italian,Pizzas,Pastas,Desserts,Beverages"
"1441 Pizzeria","Italian,Pizzas,Pastas,Desserts,Beverages"
"1441 Pizzeria","Italian,Pizzas,Pastas,Fast Food,Desserts,Beverages"
"1441 Pizzeria","Italian,Pizzas,Pastas,Fast Food,Desserts,Beverages"
"154 Breakfast Club","Continental,American"
"180 Bistro","Indian,Beverages,Biryani,Fast Food"
"1944 The Hocco Kitchen","North Indian,Fast Food"
"1947 Restaurant","North Indian,Chinese,Desserts,Biryani"
1By2,"Beverages,Snacks"
"24 Grains","Indian,Chinese,Biryani,Tandoor,North Indian,Kebabs,Middle Eastern"
"24 Seven","Chinese,Fast Food,Indian"
"24/7 - The Lalit Ashok Bangalore","American,Asian,Chinese,Continental,North Indian,Pan-Asian"
"24/7 Gallery Cafe - Hyatt Place Hyderabad","Italian,Indian,Continental"
"27 Culinary Street","North Indian,South Indian,Chinese,Indian,Mongolian,Continental"
"3 Idiots Dhaba","Indian,Chinese"
"3 Mangos","Beverages,Ice Cream"
"3 V'S Bistro","Pizzas,Fast Food"
"35 Bar & Lounge","Asian,Continental,Indian"
"37 Relish Route","Bengali,Continental"
"3Seventy Kitchen","North Indian,Chinese,Continental"
"4 Seasons","Mediterranean,Lebanese,Mughlai,North Indian,Chinese,Salads"
"429 Restaurant","North Indian,Chinese,Mughlai"
"4M Biryani House","Biryani,North Indian,Chinese"
"4Th Tea Block","Beverages,Snacks"
"5 Hot Chillis Pizza & Mocktail Bar","Italian,Fast Food"
"5 Spice","Chinese,Desserts"
"50 Fruits","Juices,Beverages,Healthy Food"
"51 Rainbow Ice Cream","Ice Cream,Fast Food,Beverages"
"6 Flavours","North Indian,Chinese,Tandoor,Grill,Barbecue"
"69 Dacker'S Lane","Bengali,Biryani"
"6Th Avenue","Indian,Chinese,Continental"
"7 - Eleven","Beverages,Fast Food,Desserts"
"7 Plates","Biryani,Chinese,North Indian"
"7Th Heaven","Bakery,Desserts"
"7Th Heaven Cake Shop","Bakery,Desserts"
"9834 The Fruit Truck","Juices,Beverages,Desserts,Healthy Food"
"99 Pancakes","Beverages,Desserts"
"99 Pancakes","Desserts,Beverages"
"99 Pancakes","Desserts,Beverages"
"A -1 Panipuri Center","Chaat,Snacks"
"A 1 Ice Creams","Desserts,Ice Cream"
"A Bowl Affair","Indian,Chinese,Combo,Beverages"
"A Gin A Moto","Fast Food,Chinese,Combo,Asian"
"A M Biryani","Biryani,Chinese,Fast Food,Snacks"
"A One Chinese","Chinese,Indian"
"A One Cold Coco","Beverages,Desserts"
"A One Collfi","Ice Cream,Indian"
"A R Rahman Bistro","North Indian,Arabian,Chinese"
"A-1 Biriyani Combo 75","Biryani,South Indian"
"A-1 Chicken Pakoda","Biryani,Kebabs,Indian,Chinese,Mughlai,Fast Food"
"A-1 Chicken Pakoda","Biryani,Chinese,Mughlai"
"A-One Bombay Biryani","Biryani,Indian"
"A'La Liberty","North Indian,Chinese,Biryani"
"A1 Chinese","Chinese,North Indian"
"A1 Chips","Snacks,Sweets"
"A1 Chips Anna Nagar","Snacks,Sweets"
"A1 Fast Food And Nahari Centre","Indian,Biryani,Chinese"
"A1 Food World","Chinese,American,Pizzas,Snacks"
"A1 Haji Fast Food","Mughlai,Indian,Chinese"
"A1 Haji Fast Food Centre","Biryani,North Indian,Street Food"
"A1 Olympia","Fast Food,Snacks"
"A2B Veg","South Indian,North Indian,Sweets,Chinese"
"A2B Veg","South Indian,North Indian,Sweets,Chinese"
"A2Z Kitchen","Fast Food,Combo,Juices"
"Aadd (M) Aadd(B)","Cafe,Beverages,Desserts"
"Aadi Bangali Restaurant","Bengali,Fast Food,Combo,Thalis"
"Aagman Punjabi And Chinese Food Corner","North Indian,Chinese,Thalis"
"Aaha Emi Ruchi","Biryani,South Indian,North Indian"
"Aahar Restaurant","Indian,Chinese"
Aaharadi,"Chinese,Indian"
"Aai'S Kitchen","North Indian,Biryani"
Aaina,"North Indian,Chinese,Fast Food,Mughlai"
"Aala Biriyani","Indian,Biryani"
Aalamir,"Chinese,Indian,Biryani"
"Aalis Rolls N Kebabs","Turkish,Arabian"
"Aalishan Restaurant & Caterer","Mughlai,North Indian"
"Aalishan Restaurant & Caterer","Biryani,Indian,Desserts"
"Aamantran - Mithaaii","Chaat,Snacks,Bakery,Sweets"
"Aamar Bangla","Bangladeshi,Bengali"
"Aamaze Dhaba","Indian,Chinese"
"Aamio Bengali","Indian,Seafood,Beverages"
"Aamio Bengali Restaurant","Bangladeshi,Bengali"
"Aamra Bangali By Ranjana'S Rannaghor","Bengali,Mughlai"
