area,avg_delivery_time
"Venkateshwara Colony",24.0000
Ramkote,26.0000
"Moonlight Cream Sagrampura",26.0000
Chanchalguda,27.0000
"Sector 4 Rohini",27.0000
Rajamohallah,27.0000
"Sector 6 Rohini",27.5000
"Majura Gate",27.6667
"Sector 1 Rohini",28.0000
Gowliguda,28.5000
"Sector 2 Rohini",29.0000
"King Koti",29.0000
Salabatpura,29.0000
Narayanguda,29.7895
"Jam Bagh",30.0000
"Nehru Stadium Dark Kitchen Metro Manor Sydenhams",30.0000
Somwarpeth,30.0000
"Old Mla Quarters",30.0000
Kachiguda,30.9474
"Khatodra Wadi",31.0000
"Sadar Bazaar",31.0000
"Athwa Station Road",31.0000
Chintadripet,31.0000
"Somwar Peth",31.0000
"Begum Bazar",31.0000
Nalgonda,31.0000
Udhna,31.4000
Paldi,31.9200
"Sector 3 Rohini",32.0000
"Modi Colony",32.0000
"Budhwar Peth",32.0000
"Navsari Bazaar",32.0000
"Abids & Koti",32.0000
Nallakunta,32.0000
Rustampura,32.0000
"Ghod Dod Road",32.0000
Koti,32.1739
"Raviwar Peth",32.5000
Poongavanapuram,32.6000
"Shaniwar Peth",32.8000
"Kurla (W)",33.0000
"Appa Balwant Chowk Pune",33.0000
"Sector -6",33.0000
Periyamet,33.1667
"Agarkar Nagar",33.3333
Ellisbridge,33.4400
"Kasba Peth",33.5000
"Rasta Peth",33.5000
"New Nallakunta",33.9091
"Basheer Bagh",34.0000
Bhimrad,34.0000
"Victoria Layout",34.0000
"Himayat Nagar",34.0000
"Bandra Kurla Complex",34.0000
"Chowpati  Athwa",34.0000
"Central Bengalore",34.0000
"Bhatar Athwa",34.0000
"Ganj Peth",34.0000
Himayatnagar,34.1296
Abids,34.2609
Nanpura,34.3077
"Old Malakpet",34.5556
"Central Banglore",35.0000
"Gulbai Tekra",35.0000
"Jm Road",35.0000
"Vijaya Nagar Colony",35.0000
Raikhad,35.0000
"Lnt Mall Musarambagh",35.0000
"Narayan Nagar",35.0000
"Velly View Enclave",35.0000
Gandhinagar,35.0000
"Krishan Vihar",35.0000
Sagrampuraathwa,35.0000
"College Square",35.3333
"Shukrawar Peth",35.3333
"Adarsh Nagar",35.5000
"Kurla West",35.5600
"Sector 7 Rohini",35.8947
"Hyderguda Old Mla Home",36.0000
"Santacruz East Mumbai.",36.0000
Musheerabad,36.0000
Nampally,36.2727
Feelkhana,36.3333
"Athwa Gate",36.5000
Gopipura,36.6667
"Himayath Nagar",36.7391
"New Mallepally",37.0000
Darulshifa,37.0000
"Sector 73",37.0000
Sherkotda,37.0000
"Girish Park",37.0000
"Residency Road",37.0000
"Ghatkopar Ck Mum",37.0000
"Mg Road",37.0000
"Langford Gardens",37.2500
Sagrampura,37.3333
Camp,37.4118
"Bhawani Peth",37.7143
"Narayan Peth",37.7500
"New Malakpet",37.7857
"Richmond Town",37.8000
"Deccan Gymkhana",37.9500
"Anna Salai",38.0000
Bhadra,38.0000
Chintal,38.0000
"Church Street",38.0000
"Kalina Ck",38.0000
"Gautam Buddha Nagar",38.0000
"Ganesh Peth",38.0000
"Afzal Gunj",38.0000
"Ashok Bhai- Citylight",38.0000
"Rithala Rohini",38.0000
"Paldi & Ambawadi",38.1250
Kalina,38.3333
Lakdikapul,38.3750
"Sector 9 Rohini",38.4000
Danilimda,38.5000
"Pathar Gatti",38.5000
Vidyanagar,38.5000
"Lal Darwaja",38.5556
Ambawadi,38.5600
Begampura,38.6471
Navrangpura,38.8258
"Sadashiv Peth",38.9474
"Commercial Street",39.0000
Zamistanpur,39.0000
"College Street",39.0000
Malakpet,39.0000
Choolai,39.0000
"Chowk Bazar",39.0000
Ambavadi,39.0000
"Shah-E-Alam Roja",39.0000
Vakola,39.0000
Paharganj,39.0000
Nagarathpete,39.0000
"Dhole Patil Road",39.0000
"Sector 5 Rohini",39.0000
Kankaria,39.0000
"New Textile Market",39.0000
"Sardar Colony",39.0000
"Pocket C-11 Sector 5 Rohini",39.0000
"Ghod Dod Road Sarelawadi",39.0000
"Yamuna Nagar",39.3333
"Ashok Nagar",39.3475
Kurla,39.6434
"Santacruz East",39.7182
"Parvat Patiya",39.8750
Adikmet,40.0000
Shahpore,40.0000
Haripura,40.0000
"Katad Khana",40.0000
"Sampangi Rama Nagar",40.0000
"Brigade Road",40.0000
Rammandir,40.0000
Navjivan,40.0000
"Panjarapole Cross Road",40.0000
Egmore,40.2632
"Budh Vihar",40.3333
"Sudhama Nagar",40.3333
Santacruz,40.4000
"Fc Road",40.5000
Bowbazar,40.5000
Umarwada,40.5000
Swargate,40.5278
Athwa,40.6061
Mumbai,40.7500
"Asif Nagar",41.0000
"Narotam Nagar",41.0000
"Kurla East Nehru Nagar",41.0000
Naktala,41.0000
Shivajinagar,41.3333
"University Area",41.3333
Khamasa,41.5000
"Ghansi Bazaar",41.6000
Sayedpura,41.6667
Tiretti,41.7500
"Raja Bazar",41.7500
"Shivaji Nagar",41.8400
Maniktala,42.0000
Hedua,42.0000
"Jivraj Park",42.0000
"Chudi Bazaar",42.0000
Moosarambagh,42.0000
"3Rd Block Jayanagar",42.0000
"Sector 8 Rohini",42.0909
Triplicane,42.2353
Khanpur,42.3333
Jorasanko,42.3333
Laldarwaja,42.4000
"Madannapet Colony",42.5000
Purasaiwakkam,42.6154
"Central Bangalore",42.7183
Amberpet,43.0000
Esplanade,43.0000
"Near Rupbani Cinema",43.0000
Kavadiguda,43.0000
Sovabazar,43.0000
Althan,43.0000
"Phoenix Mall",43.0000
Gomtipur,43.0000
Redhills,43.1667
Ahmedabad,43.2222
Shyamal,43.2500
Dilsukhnagar,43.2941
"Sector 10 Rohini",43.3333
Surat,43.5000
Shantinagar,43.5833
Maninagar,43.6444
"Nallakunta & Vidyanagar",43.7111
"Vasanth Nagar",43.7500
Hatibagan,43.8000
"Bandra East",43.8800
"Shanti Nagar",43.9000
"Sainik Vihar",44.0000
Gaddiannaram,44.0000
"B.B.D. Bagh",44.0000
Khadia,44.0000
"Jodhpur Tekra",44.0000
"Cg Road",44.0000
Hatkeshwar,44.0000
"Umra Jakat",44.0000
"Scruz Bandra East",44.3878
Sangamvadi,44.5000
"Lal Bazar",44.5000
Rohini,44.6148
Juhu,44.6667
"Cunningham Road",44.6667
"Jodhpur Village",44.7500
"Masab Tank",45.0000
Machuabazar,45.0000
Moghalpura,45.0000
Hyderabad,45.0000
"Sector 51",45.0000
Pitampara,45.0000
"Vv Puram",45.0000
"Fdl_Scruz Bandra East",45.0000
Kalupur,45.0000
Juhapura,45.3333
Usmanpura,45.4286
Parvati,45.5000
Satellite,45.5714
"Barabazar Market",45.6250
"Bentinck St.",45.6667
Burrabazar,45.6800
Majestic,45.7273
Manicktala,46.0000
Jayamahal,46.0000
"Behra Enclave Paschim Vihar",46.0000
"Boudhanagar Colony",46.0000
"Adajan Patiya",46.0000
Banjarahills,46.0000
"Borough - Iii",46.0000
"Girdhar Nagar",46.0000
"Cambridge Layout",46.0000
Bhagal,46.0000
Bkc,46.0714
Khairtabad,46.0909
Purasawalkam,46.0909
Erandwane,46.0962
Saidabad,46.2000
"Sivanchetti Gardens",46.4000
Shankarapura,46.5000
Singanpor,46.5000
"Saki Naka",46.6792
"Santoshnagar & Saidabad",46.7857
Chickpet,46.8889
Asalpha,47.0000
"Sector 37",47.0000
Yakutpura,47.0000
"Saki Naka   Andheri East",47.0000
"Puna Patia",47.0000
"Rohini Sector 7",47.0000
"Satara Road Bibvewadi",47.0000
Odhav,47.0000
"Jayanagar - 3Rd Block",47.0000
"Prashant Vihar",47.0000
Bodakdev,47.1667
"Ramdev Nagar",47.2500
Chetpet,47.3000
"Ghatkopar East",47.3023
"Murad Nagar",47.5000
Thaltej,47.5000
Vastrapur,47.5745
"Prahlad Nagar",47.6364
"Sector 14 Rohini",47.6667
Naranpura,47.6667
Katargam,47.7500
"Powaiandheri East",48.0000
"Sheela Vihar Colony",48.0000
J.C.Nagar,48.0000
Dudheshwar,48.0000
"Law College Road",48.0000
"Rani Bagh",48.0000
"Sainik Vihar Pritampura",48.0000
"The New Sion Co-Operative Housing Society",48.0000
Chilakalguda,48.0000
Ramanthapur,48.0000
"Sindhu Bhavan Road",48.0000
Madhupura,48.0000
Ghodasar,48.0000
"Sanjay Nagar",48.0000
"Gandhi Nagar",48.0769
Gokhalenagar,48.2500
"Wilson Garden",48.2500
"Jashoda Nagar",48.3333
Kilpauk,48.3966
"Ghatkopar West",48.4400
Entally,48.5000
"Sector 13 Rohini",48.5000
"Sector 29",48.5000
Vishala,48.6667
"Bandra Area",48.7097
"Pitam Pura",48.7222
Taltala,48.9756
"Near Gurudas Park",49.0000
Sarvagnanagar,49.0000
"Sector 8  Rohini",49.0000
Sheshadripuram,49.0000
Nehrunagar,49.0000
"Gandhi Bazaar",49.0000
"Sector 15 Rohini",49.0000
"Vip Road",49.0000
Yakhutpura,49.0000
"Old Wadaj",49.0000
Gurukul,49.1667
"George Town",49.1765
Khokhra,49.1818
Shahpur,49.2000
"Pulikeshi Nagar",49.2381
"Thousand Lights",49.2708
"Sector 16 Rohini",49.3333
"Pankaj Nagar",49.3333
Jogupalya,49.3750
Kankurgachi,49.5000
Ulsoor,49.7500
Ghatkopar,49.8000
"Somajiguda & Khairtabad",49.8571
Chembur,49.8750
Shobhabazar,50.0000
"Benson Town",50.0000
Charminar,50.0000
Jamalia,50.0000
"Viveka Nagar",50.0000
"Drive In Road",50.0000
"Sec-9 Rohini",50.0000
"Huda Colony",50.0000
"Wallace Garden",50.0000
Gudimalkapur,50.0000
"Peeragarhi Camp",50.0000
Sion,50.1081
Chamrajpet,50.1667
Memnagar,50.2500
Sakivihar,50.2500
Varachha,50.3333
"Parvati Paytha",50.5000
Royapettah,50.6000
"Santosh Nagar",50.6667
"Nava Vadaj",50.7500
Dharavi,50.8000
Basavanagudi,50.9074
Jayanagar,50.9796
"Near 7 Point Crossing",51.0000
Khilwat,51.0000
"Kapodra Patiya",51.0000
"Garodia Nagar",51.0000
Jorabagan,51.0000
L.P.Savani,51.0000
"Sarkhej Road",51.0000
"Lakdi Ka Pul",51.0000
"Knk- Nungambakam (Cds)- Chennai",51.0000
"Rani Gunj",51.0000
"Sanjay Nagar New Bel Road",51.0000
"Maharshi Nagar",51.1250
"Marol Sakinaka",51.1351
Pitampura,51.1667
"Guru Nanak Nagar",51.2500
"Marol Maroshi Road",51.3333
Srirampura,51.4000
"Ghatkopar Vikhroli",51.4762
Seshadripuram,51.5000
"Humayun Nagar",51.5000
Hirabaugh,51.5000
Adajan,51.8784
"Mukti Nagar",52.0000
"Talab Katta",52.0000
"Nava Naroda",52.0000
Ghatlodia,52.0000
"Secot 24Rohini",52.0000
Bhatha,52.0000
"Takara Basthi",52.0000
"Kailash Plaza",52.0000
"Station Road Ghatkopar West",52.0000
Beleghata,52.1200
"Matunga Wadala",52.1500
"Padmarao Nagar",52.2500
Gopalapuram,52.3529
"Sion Bhakti Park",52.4118
"Santacruz West",52.5000
"Saijpur Bogha",52.5000
Gowlipura,52.5000
Uttran,52.5000
"Armane Nagar",52.5000
Ayanavaram,52.5385
"Frazer Town",52.6667
Ganganagar,53.0000
"Kurla - Mumbai",53.0000
"Sastri Nager",53.0000
Vyasarpadi,53.0000
"Sampangiram Nagar",53.0000
"Mukherjee Nagar",53.0000
"Rohini - Sector 16",53.0000
"Rt Nagar",53.0000
"Santacruz Bandra East",53.0000
Vasna,53.0000
"Matunga East",53.0000
"Saki Vihar Road",53.0000
"Vardhman Premium Mall",53.0000
"Fathima Nagar",53.0000
"Chembur Colony",53.0000
" Akhbar Nagar Circle",53.0000
"Prashant Vihar Rohini",53.1429
"Shyam Bazar",53.2000
Guttahalli,53.3333
Chennai,53.5556
Mehdipatnam,53.6364
"Paschim Vihar",53.6774
Powai,53.9341
Bharthana,54.0000
"Lal Darwaza",54.0000
"Langar Houz",54.0000
"Express Avenue Mall",54.0000
Neelasandra,54.0000
"Ea Mall Royapettah",54.0000
"Dr.Radhakrishnan Salai-Mylapore",54.0000
Halsuru,54.0000
Nangloi,54.0000
Narol,54.0000
Banashankari,54.2727
Nungambakkam,54.4314
Nsp,54.4375
"Patel Nagar",54.5000
Kakurgachi,54.5000
"Adajan Gam",54.5000
Somajiguda,54.5556
"Andheri East",54.6593
Isanpur,54.7727
"Koregaon Park",54.9855
"Cooke Town",55.0000
"Sector 11 Rohini",55.0000
"Shyambazar Crossing",55.0000
Vikhroli,55.0000
"Broadway Mall",55.0000
"Krishna Nagar Colony",55.0000
"Laxmi Encleve - Katargam",55.0000
"Yoginagar Society",55.0000
Bapunagar,55.0000
"Antop Hill",55.1000
"Park Street Area",55.2414
Beniapukur,55.2500
Ahiritola,55.5000
Chanakyapuri,55.5000
Kothapet,55.7600
Gultekdi,55.8000
"Kothapet & Dilsukhnagar",55.8000
Malleswaram,56.0000
Marol,56.0000
"Sima Nagar",56.0000
Kadugondanahalli,56.0000
Domlur,56.0952
"Bandra West",56.2000
"Khar West",56.2727
Elgin,56.2857
Vesu,56.2857
Royapuram,56.5000
"Khar East",56.5000
"Jodhpur Cross Road",56.5000
Malleshwaram,56.5532
Aminjikarai,56.6364
"Shenoy Nagar",56.7778
Adugodi,56.8750
"Govandi East",57.0000
Aliabad,57.0000
"Palanpur Patia",57.0000
"Jogeshwari East",57.0000
Ranip,57.0000
"Sector 8",57.0000
Basaveshwaranagar,57.0000
Battarahalli,57.0000
"Sion Koliwada",57.0000
"Lingarajapuram Kammanahalli",57.0000
"Vishal Nagar",57.0000
"Sri Nagar",57.0000
"Honey Park",57.0000
Indiranagar,57.1462
"Old Washermanpet",57.1579
Washermanpet,57.3333
Ghorpadi,57.3333
"Nana Varachha",57.4286
Matunga,57.5294
Delhi,57.6667
Bopodi,57.7500
Rajajinagar,58.0000
Habsiguda,58.0000
"Huda Complex",58.0000
Ultadanga,58.0000
"Salt Lake Area",58.0000
"Azad Nagar",58.0000
"New Rander Road",58.0000
"Palanpur Jakatnaka",58.0000
"Tad Bun",58.0000
"Kothapet & Dilshuknagar",58.0000
Someshwarpura,58.0000
26,58.0000
"Salt Lake - Kolkata",58.0000
"Lower Parel Area",58.0000
"Kankurgachi Kolkata",58.0000
Bibvewadi,58.0000
Mahim,58.0000
"Central Kolkata",58.0159
Kothrud,58.1745
Koramangala,58.2984
Amroli,58.5000
"Cox Town",58.5000
"R.T. Nagar",58.6667
"Vikhroli West",58.7500
"Karve Nagar",58.8400
Rander,59.0000
Magob,59.0000
Shakurpur,59.0000
"Ramnas Pura",59.0000
"L.B Nagar",59.0000
Sithaphalmandi,59.0000
"Andheri West Area",59.0000
"Pal Gam",59.2500
"Range Hills",59.3333
"New Tippasandra",59.4444
Palanpur,59.5000
"Powai Area",59.8636
"Broad Street",60.0000
"Kiran Nagar",60.0000
Peravallur,60.0000
Ekdalia,60.0000
"Safal Square Vesu",60.0000
"Sai Nagar",60.0000
"Mitul Square Piplod",60.0000
"Sector 3",60.0000
Sarthana,60.0909
Ejipura,60.1429
Piplod,60.1875
Punjagutta,60.2353
